Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
ganesh sharma,20,20,720,82.78,0.00,https://www.glocify.com/blog/author/ganesh/,2,100,0.00,0,51300000,"[55,68,45,37,45,55,77,68,68,68,77,100]",1579769151,"Image pack, Reviews, Video, Video Carousel, FAQ"
play store app for windows,95,95,110,63.08,0.23,https://www.glocify.com/hire/windowsmobileapp,0,0,0.00,0.43,1500000000,"[82,53,100,100,53,41,53,53,41,41,53,65]",1581029243,"Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
business ideas in chandigarh,86,86,110,78.3,0.11,https://www.glocify.com/,0,0,0.00,0.19,13000000,"[53,53,53,53,41,41,41,65,65,100,100,65]",1579519614,"Image pack, Site links, Reviews, Video, Featured snippet, Video Carousel, People also ask, FAQ"
call now button,37,37,140,63.22,0.00,https://www.glocify.com/blog/now-you-can-add-call-now-button-to-your-google-posts/,0,0,0.00,0.02,1480000000,"[100,65,65,82,65,82,82,82,82,82,82,100]",1579405057,"Image pack, Reviews, Video Carousel, People also ask"
software prototyping in software engineering,26,26,110,72.91,0.00,https://www.glocify.com/services/software-prototyping,0,0,0.00,0,38000000,"[19,42,35,19,19,27,35,100,54,42,54,54]",1579554129,"Knowledge panel, Site links, Reviews, Featured snippet, Video Carousel, People also ask"
bootstrap design,47,47,390,63.9,0.00,https://www.glocify.com/services/bootstrap,0,0,0.00,0.01,89300000,"[100,67,81,100,81,81,81,100,81,100,81,81]",1579859884,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ"
customer relationship management project,74,74,140,69.1,0.68,https://www.glocify.com/services/customer-relationship-management,0,0,0.00,0.07,381000000,"[19,35,54,100,100,100,65,65,35,42,65,42]",1580630013,"Reviews, Featured snippet, Video Carousel, People also ask, FAQ"
node technologies,67,67,110,76.04,0.00,https://www.glocify.com/services/node-js,0,0,0.00,0,158000000,"[52,52,52,33,52,43,67,67,43,67,52,100]",1579280610,"Knowledge panel, Reviews"
application security consulting services,77,77,50,52.17,0.00,https://www.glocify.com/services/application-security,0,0,0.00,0,2020000000,"[0,0,0,0,0,0,50,0,0,0,100,0]",1579983498,"Image pack, Site links, AdWords bottom"
c++ development software,71,71,90,74.08,0.00,https://www.glocify.com/services/c-plus-plus-development,0,0,0.00,0,95200000,"[100,33,33,33,100,33,33,33,33,33,67,67]",1580187033,"Site links, Reviews, Video, Video Carousel, People also ask, FAQ"
