Url,Keyword,Search Volume,Position
https://www.diamondpet.com/,diamond,301000,11
https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,dog diarrhea,60500,6
https://www.diamondpet.com/blog/health/sensitive-skin/mite-y-matters-mange-dogs/,mange in dogs,40500,24
https://www.diamondpet.com/,diamond dog food,27100,1
https://www.diamondpet.com/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,dog throwing up,18100,30
https://www.diamondpet.com/dog/diamond-naturals/,diamond naturals dog food,14800,1
https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,dog has diarrhea,14800,4
https://www.diamondpet.com/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,dog vomiting,14800,18
https://www.diamondpet.com/blog/health/renal/acute-vs-chronic-kidney-disease-in-dogs/,kidney failure in dogs,14800,28
https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,skin tags on dogs,14800,29
https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,puppy diarrhea,12100,8
https://www.diamondpet.com/blog/health/diet/dogs-eat-poop/,dog eating poop,12100,28
https://www.diamondpet.com/blog/health/sensitive-skin/managing-winter-dog-dandruff/,dog dandruff,9900,10
https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,mucus in dog poop,9900,19
https://www.diamondpet.com/blog/health/conditions/science-behind-dogs-blue-eyes/,dogs with blue eyes,9900,22
https://www.diamondpet.com/dog/diamond/puppy/,diamond puppy food,8100,1
https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,dog cyst,8100,1
https://www.diamondpet.com/dog/diamond-naturals/,diamond naturals,8100,1
https://www.diamondpet.com/dog/diamond-naturals/,blue diamond dog food,8100,2
